CompanyName,JobRole,Experience,Skills,Industry
Joveo,Data Engineer,2-5 Yrs,"hive, modeling, scala, data warehousing, dbms, data pipeline, sql, java",Recruitment
Wipro,Business Analyst,5-7 Yrs,"dashboard development, process analysis, documentation, business analysis, business analytics, financial analysis, project management, data analysis",Information Technology (IT)
Mindful Brainsciences,Data Analyst,2-4 Yrs,"Data Analysis, international data management, healthcare data analysis, data research, business data management, market research, Data Modeling, Data Analytics",Neuroscience
Icra Online Limited,Analyst,2-4 Yrs,"Stress testing, Data analysis, Interpersonal skills, Financial markets, Consulting, liquidity risk, Data analytics, Credit risk",Financial Services
Helical IT Solutions Pvt. Ltd.,Data Engineer - Pentaho,3-4 Yrs,"Computer science, Data analysis, Data management, data integrity, Data analytics, data visualization, big data, Pentaho",Information Technology (IT)
Info Test Ehire Campaign,Data Analyst,5-9 Yrs,"Data Analytics, visualization, migration, Data Interpretation, migration, Machine Learning, Python, Data analysis",Human Resources (HR)
Starcom,Assistant Manager- Advance Analytics,1-3 Yrs,"advanced analytics, project management, python, data analysis, data management, data analytics, natural language processing, predictive analytics",Media
Pepsico,Deputy Director Data Engineering,13-15 Yrs,"Data Engineering, Azure Data Factory, Azure Machine learning, data analytics, data science, PySpark, Scala, Azure Databricks",Food and beverage
Accenture,Business Analyst,5-10 Yrs,"project management, sap, customer engagement, business analysis, marketing cloud, visualforce, data analysis, data analytics",Consulting.
Accenture,Business Analyst,3-8 Yrs,"data management, business analysis, computer system validation, information gathering, process modeling, advanced analytics, project management, data analysis",Consulting.
Accenture,Application Lead,5-10 Yrs,"sas analytics, pyspark, application development, agile, data munging, python, oracle, data analysis",Consulting.
Ipropal,Data analyst,1-3 Yrs,"Data analytics, Data Analyst, Internship, Data analysis, Data, Analytics",Software
THE GUARDIANS REAL ESTATE ADVISORY,Data Analyst,3-8 Yrs,"Data Management, Data Analytics, Data Reporting, Analytics, Management, Data, Reporting, Data analysis",Real Estate
Aliqan Services,Business Analyst | AIML,3-6 Yrs,"Power Bi, Aiml, SQL Database, Data Analytics, Machine Learning, Business Analytics, Ml Algorithms, SQL","I do not have access to real-time information, including company databases. Therefore, I cannot tell you what industry Aliqan Services belongs to."
Epsilon Asia Group Of Companies,Business Manager - Commerce & Search,4-8 Yrs,"Computer science, Manager Client Servicing, Client satisfaction, Team management, data science, Media strategy, Data analytics, Business intelligence",Business Process Outsourcing (BPO)
S&P Global Market Intelligence,Associate Director Data Science,10-15 Yrs,"Data Science, deep learning, advanced analytics, python, nlp, data analytics, business analysis, machine learning",Financial Services
Diverse Infotech,Data Science Analytics,2-7 Yrs,"data science, Analytics, data analytics, data, data munging, science",Information Technology (IT)
Deutsche Bank,Data Engineer/ Analyst - Assistant Vice President,5-10 Yrs,"SQL database, data analytics, automation, data analysis, Alteryx, Data Engineer, Tableau, Analytics",Financial Services
Accenture,Business Analyst,2-7 Yrs,"advanced analytics, business analysis, process improvement, computer system validation, data visualization, project management, python, data analysis",Consulting.
Swosti Premium,Data Analyst,3-8 Yrs,"Data Analytics, Data Reporting, Data Quality, Data Management, Data Analysis, Data Profiling, Reporting, Analytics",Textile/Garment
Times Internet,Associate Product Analyst,2-6 Yrs,"Product management, Computer science, Product Analyst, Data analysis, tableau, Google Analytics, data science, Data analytics",Media and Technology
Mediend,Nlp Expert,2-6 Yrs,"python, data analysis, data analytics, natural language processing, data mining, neural networks, predictive analytics, machine learning",Media
Hitachi Energy,Data Analyst,2-5 Yrs,"Sales, Finance, Market segmentation, Manager Technology, Data quality, Data analytics, Data Analyst, Management",Energy
Tezo,Data Engineer,2-5 Yrs,"Product engineering, Focus, Corporate, Manager Technology, Data analytics, Inside sales, digital transformation, Management",Blockchain
An Insurance Company,Data Analyst  (Insurance Company) - For Only Kolkata based Candidates,1-3 Yrs,"Data Analytics, Power Bi, Data Analysis, Advanced Excel, AWS, SQL, Python, Analytics",Insurance.
Impetus Consultants,Data Analyst|,1-2 Yrs,"Data Analysis, Power Bi, Data Visualization, Advanced Excel, Tableau, Dashboards, Data Analytics, Bi",Consulting
PlanetSpark,Manager Data Analytics,5-7 Yrs,"Data Analytics, Data Science, Advanced Analytics, Data Analysis, Data Visualization, Science, Data management, Management",N/A
Data Collection Infotech,Machine Learning Engineer,2-5 Yrs,"Computer vision, deep learning, Image processing, Machine learning, Algorithm development, Data processing, Data analytics, Mathematics",N/A
Ignitho,Business Analyst - Media IG,3-8 Yrs,"Sales, Business Analyst, Agile, UAT, Application development, Data analytics, Management, Stakeholder management",Software
Earthful,Business Analyst,1-3 Yrs,"Supply chain, Customer acquisition, Data management, Business Analyst, Data analytics, Advanced Excel, Business process management, Data mining",Sustainable Living
Vixplor Analytics,Data Analyst,1-5 Yrs,"Computer science, Analytical, Data collection, Packaging, Data analytics, Mathematics, Data Analyst, Information technology",Analytics
Ms Clinical Research,Data Analyst,1-4 Yrs,"metadata, python, data analysis, data management, data analytics, configuration, data mining, data integrity",Healthcare/Pharmaceutical
Trendence,Associate Manager,3-6 Yrs,"advanced analytics, Data management, data science, GCP, Machine learning, Cloud, Data analytics, data visualization",Market Research
Fusion Plus Solutions,Data Analyst,2-4 Yrs,"Business process, Service tax, Billing, Data quality, Data Analyst, Data analytics, Data mining, STM",IT
Saven Technologies,Data Analyst,3-5 Yrs,"RCA, Root cause analysis, Analytical, Social media, Data analytics, data visualization, Analytics, SQL",Technology
Find Firms,Business Analyst,5-10 Yrs,"project management, data analysis, data analytics, gap analysis, business solutions, project implementation, business analysis, uat",Financial Services
Hashtag Infosystem,Data Analyst,3-6 Yrs,"data analysis, data analytics, forecasting, bi, strong analytical skills, power bi, pivot table, business analysis",Information Technology
Naghavi Fintech,Data Analyst,5-9 Yrs,"SAS, Cognos, TIBCO, power bi, Data analytics, Bi, Data analysis, Data",Fintech
Trendence,Consultant,2-5 Yrs,"advanced analytics, Data management, data science, GCP, Machine learning, Cloud, Data analytics, data visualization",Market Research
Accenture,Data Engineer,2-4 Yrs,"data analytics, information technology, data warehousing, data modeling, etl process, python, microsoft azure, project delivery management",Consulting.
Accenture,Data Engineer,5-7 Yrs,"data analytics, information technology, data engineering, sql, data modeling, data services, python, analytics services",Consulting.
Accenture,Data Engineer,3-7 Yrs,"information technology, dimensional data modelling, data warehousing, gcp, data lake, data services, python, data analytics",Consulting.
Accenture,Data Engineer,5-7 Yrs,"information technology, data migration, data engineering, sql, etl process, data analytics, azure analytics, data warehousing",Consulting.
Iflowtech Solutions,Lead Full stack Software Engineer,7-9 Yrs,"Java, AWS, Angular, Rest, Multithreading, Spring Boot, Microservices, Boot",Information Technology (IT)
Repucom,Software Engineer - Java/Scala Developer,4-6 Yrs,"Unix, Automation, Linux, Shell scripting, Application development, JSON, Apache, Troubleshooting",Reputation Management
Walmart,"SENIOR, SOFTWARE ENGINEER (Java)",4-8 Yrs,"Coding, GCP, Debugging, Machine learning, Data structures, J2Ee, Information technology, Monitoring",Retail
UKG,Senior Software Engineer (Java),2-7 Yrs,"Java, c#, c++, c, software development, selenium, .net, software engineering",Human Resources (HR)
Techgimini,Software Engineer Fresher & Experience Candidates Apply Now,0 Yrs,"Software Testing Life Cycle, Problem Solving, Version Control, Object Oriented Programming, Collaboration, c++, GUI Testing, Data Structures",Technology
Xoom,Software Engineer - Java,0-3 Yrs,"Computer science, JMS, Hibernate, SOA, Coding, Agile, Data structures, JSON",Financial Services
Repucom,"Software Engineer (Java/Scala, Spark, SQL, AWS, Kubernetes)",4-6 Yrs,"Unix, Automation, Linux, Shell scripting, Application development, JSON, Apache, Troubleshooting",Reputation Management
IBM,"IBM Z Ecosystem Software Engineer, Digital Platforms (Full Stack Web D",5-10 Yrs,"responsive website, javascript, angular, node, agile, kubernetes, css, mean stack",Technology
Walmart,Software Engineer - Java,3-8 Yrs,"Java, Microservices, Spring Boot, Devops, Software engineering, Software, Boot, Spring",Retail
Chenoa Information And Software Services,Dot Net Fullstack -Senior Software Engineer,5-7 Yrs,".Net Core, Angular, dotnet, Asp.Net Core, SQL Server, typescript, AWS, azure",Information Technology (IT)
Impetus Technologies,Bigdata + Java- Senior Software Engineer/Module Lead,4-6 Yrs,"rest, continuous integration, python, software development, languages, application design, automation testing, big data technologies",Technology
NICE,Senior Software Engineer (Java),4-7 Yrs,"rest, software development, web services, ood, concurrent, hibernate, sql, microservices",Technology
Repucom,"Manager, Software Engineer (Full Stack - ReactJS, NodeJS, SQL) (copy)",1-5 Yrs,"Unix, Linux, Coding, Postgresql, Social media, MySQL, Shell scripting, JSON",Reputation Management
Cendyn,Senior Software Engineer - Dotnet,9-14 Yrs,"Net Core Development, .Net, SQL Server, SSIS, ETL, C#, Javascript, Asp.Net Core",N/A
Snow Planet,Sr Software Engineer - Fullstack,4-9 Yrs,"Business process, Object oriented design, Product quality, Automation testing, Web technologies, Analytical, Javascript, Data structures",Entertainment.
Repucom,Software Engineer - Java/Scala Developer,4-6 Yrs,"Unix, Automation, Linux, Shell scripting, Application development, JSON, Apache, Troubleshooting",Reputation Management
Repucom,Software Engineer - Java/Scala Developer,4-6 Yrs,"Unix, Automation, Linux, Shell scripting, Application development, JSON, Apache, Troubleshooting",Reputation Management
Repucom,Software Engineer - Bigdata (Java/Scala and SQL),3-5 Yrs,"Unix, Automation, Linux, MySQL, Shell scripting, Application development, Apache, Troubleshooting",Reputation Management
Repucom,"Software Engineer - Bigdata (Java/Scala ,SQL , AWS)",3-5 Yrs,"Unix, Automation, Linux, MySQL, Shell scripting, Application development, Apache, Troubleshooting",Reputation Management
Repucom,"Software Engineer - Java/Scala, Spark, SQL, AWS, Python",1-4 Yrs,"Unix, Automation, Linux, Shell scripting, Application development, JSON, Apache, Troubleshooting",Reputation Management
IBM,"Storage Software Engineer - Java/Microservices, Virtualization",8-12 Yrs,"hp data protector, software design and development, database creation, debugging, software product development, kubernetes, continuous integration, python",Technology
Samsung India,Fullstack Software Engineer,4-9 Yrs,"Fullstack, React.Js, NodeJs, Angular, Python, Data Structures And Algorithms, Node.js, Full Stack",Electronics
Webex Communications India (p) Ltd.,Software Engineer - Go OR Java/ AWS/ Kafka or Clickhouse database,7-12 Yrs,"cloud security, Sales, Linux, Analytical, Schema, Cloud, Manager Technology, Roaming",Technology
Harbinger Systems,Sr. Software Engineer- Dot Net Core + Azure,5-10 Yrs,"Azure, Docker, .net Core, Microservices, SQL, Software, Core, DoT",IT
Adeptia,Fullstack Senior Software Engineer,4-7 Yrs,"Hibernate, react, Spring, core java, React.Js, Java, Angularjs, Design Patterns",Software
inContact,Software Engineer (Java),2-4 Yrs,"Hibernate, Core Java, Tomcat, Linux, Flex, Data structures, J2Ee, Windows",Customer service.
Atlasrtx,Software Engineer (Java),2-4 Yrs,"Hibernate, Core Java, Tomcat, Linux, Flex, Data structures, J2Ee, Windows",Technology
Intelex Technologies Ulc,Software Engineer - C++/Python,3-5 Yrs,"C++, Automation, Software design, Coding, Machine learning, Agile, Workflow, Healthcare",Software
Bottom Line,Senior Software Engineer (Java),4-7 Yrs,"Unix, JMS, Maven, Linux, Production support, Coding, Javascript, Cash management",Financial
Bottom Line,Senior Java Software Engineer,4-7 Yrs,"Maven, Production support, Coding, Postgresql, Javascript, PLSQL, Oracle, Troubleshooting",Financial
Paypal,Software Engineer - Java,2-7 Yrs,"JMS, Hibernate, SOA, Coding, Agile, Data structures, JSON, Open source",Financial services
NICE,Senior Software Engineer Java  + Angular,4-8 Yrs,"algorithms, continuous integration, hibernate, microsoft, redis, apache tomcat, spring, cloud",Technology
Datatech India,"Software Engineers (Dot Net Core , Microservices)",4-15 Yrs,"c#, python, c++, css, project management, software development, software testing, javascript",Technology
MeasureOne,"Senior Software Engineer, Java",5-10 Yrs,"Core Java, Algorithms, Data Structures, Object Oriented Programming, Microservices, Multithreading, Design Patterns, Solid Principles",Software
Plum Benefits,Software Engineer - II - Full-stack,2-7 Yrs,"Backend, Front end, Coding, TDD, Postgresql, Javascript, Agile, Healthcare",Employee Benefits
Postman,"Software Engineer II (Full stack), Monitoring",3-8 Yrs,"Backend, github, Front end, Coding, Technical design, Software Engineer II, Agile, Scrum",Software
Singlestore,"Software Engineer, Full-Stack",3-6 Yrs,"SAN, Networking, Data management, Web development, Packaging, Operations, Analytics, Python",Database
Atlasrtx,Senior Software Engineer (Java),4-7 Yrs,"Computer science, Hibernate, Software design, Multithreading, Web services, MySQL, Cloud, Flex",Technology
Floatiq,Dot Net - Software Engineer,0-2 Yrs,".Net, Software, DoT, Software engineering",Real estate
Blue Yonder,"Sr Software Engineer (Java, Springboot, microservices, kafka, nosql)",3-5 Yrs,"spring boot, NoSQL, Architecture, RDBMS, cassandra, GCP, Equity, Data structures",Supply chain management.
Repucom,"Manager, Software Engineer (Full Stack - ReactJS, NodeJS, SQL)",1-5 Yrs,"Unix, Linux, Coding, Postgresql, Social media, MySQL, Shell scripting, JSON",Reputation Management
Mastercard,Senior Software Engineer -Java Backend,6-9 Yrs,"Coding, Information security, Debugging, Javascript, Agile, Perl, MVC, SDLC",Financial services
Blue Yonder,"Sr Software Engineer (Java, Spring Boot)",3-5 Yrs,"Maven, MS SQL, GIT, NoSQL, Enterprise applications, Information security, Billing, Test cases",Supply chain management.
American Express Global Business Travel,Software Development Engineer I,1-5 Yrs,"Maven, operational support, Coding, Debugging, Agile, Selenium, Business intelligence, Release management",Travel
Tracxn,Tracxn-Senior Software Engineer-Backend- Java(4+ Yrs),4-9 Yrs,"data structures, Object Oriented Programming, algorithms, Java, ElasticSearch, software design, database systems., MySQL",Data and Analytics
IBM,Storage Software Engineer - Full Stack,8-10 Yrs,"java, spring mvc, debugging, software product development, troubleshooting, css, dbms, hibernate",Technology
Affinity Global Advertising,"Software Engineer, Senior Fullstack",2-6 Yrs,"System architecture, Cloud computing, Backend, HP data protector, Architecture, Coding, Performance testing, Troubleshooting",Advertising.
Affinidi Group,"Software Engineer, Senior Fullstack",4-8 Yrs,"System architecture, Cloud computing, Backend, HP data protector, Architecture, Coding, Performance testing, Troubleshooting",Digital Identity
Epam Systems,"Senior Java Cloud Software Engineer - Java, AWS, Microservices",6-11 Yrs,"Java, AWS, Microservices, Software, Cloud, Cloud Technologies, Senior",Information Technology (IT)
Clarivate,Software Engineer-Java,1-3 Yrs,"Core Java, XML, Eclipse, Debugging, Consulting, Javascript, Agile, HTML",Information Services
Plumhq,Software Engineer - II - Full-stack,2-5 Yrs,"Backend, Front end, Coding, TDD, Postgresql, Javascript, Agile, Healthcare",Software
Synersoft,Software Engineer - Java Platform,1-3 Yrs,"Software testing, Compliance, Coding, Java Software Engineer, Software development life cycle, Investigation, Continuous improvement, Object oriented programming",Software.
Blackhawk Network,Software Engineer - Full-stack,1-2 Yrs,"Front end, Information security, Javascript, Agile, HTML, Scrum, Information technology, SDLC",Financial Services
MyHealthcare Technologies Pvt Ltd,Software Engineer Full Stack,2-5 Yrs,"Node.Js, CSS, Github, MongoDB, HTML, React.Js, JQuery, Full Stack",Healthcare
Capillary Technologies,"Software Engineer II, Full Stack",3-8 Yrs,"and React Native., Node.js, React, Software engineering, Full Stack, Native, Software, React.js",Retail technology.
EA Games (Electronic Arts),Lead Full-Stack Software Engineer (MERN),8-13 Yrs,"Backend, GIT, NoSQL, Coding, Javascript, Agile, Scrum, SQL",Video game industry
e2open,Software Engineer- Full stack,2-4 Yrs,"Java, Javascript, spring, Rest Api Development, Full Stack, Stack, Development, Javas",Supply Chain Management
Blue Yonder,Software Engineer II (.Net Full stack),3-6 Yrs,"Coding, Debugging, Javascript, Agile, Data structures, Application development, JSON, Scrum",Supply chain management.
Webex Communications India (p) Ltd.,Software Engineering Technical Leader,11-15 Yrs,"System architecture, C++, Networking, Debugging, Agile, DNS, HTTP, cisco",Technology
Mastercard,Software Engineer - Full Stack,3-7 Yrs,"Coding, TDD, Analytical, Configuration management, Information security, Debugging, Operations, Monitoring",Financial services
Mastercard,Software Engineer I - Java development,3-6 Yrs,"JMS, Core Java, Linux, JBoss, Information security, Shell scripting, Unit testing, Troubleshooting",Financial services
CarDekho,Software Engineer [Java/Angular],0-2 Yrs,"Object oriented design, jQuery, Eclipse, MySQL, Debugging, Java Software Engineer, Javascript, PHP",Automotive
i-exceed technology solutions,Sr. Software Engineer  JAVA Script,3-5 Yrs,"CSS, JAVA Script, HTML, JQuery, SR, Software, Cs, Javascript",Information Technology (IT)
Global IT MNC,Python Developer/ Software Engineer,7-12 Yrs,"Python Development, python api, Django, oops, Python services, flask, Python, Development",Information Technology (IT)
MNC Company,Senior Dot Net Software Engineer,5-6 Yrs,"React.Js, Dotnet software engineer, .Net, Senior, DoT, Software engineering, Software","It's impossible to determine the industry of ""MNC Company"" without more information.  ""MNC"" stands for ""Multinational Corporation"", which simply means the company operates in multiple countries.  It doesn't tell us anything about their industry."
FactSet,Software Engineer III (C#.net with Python),3-6 Yrs,"Backend, Analytical, Machine learning, Data structures, MongoDB, Troubleshooting, Distribution system, Analytics",Financial
UBS Business Solutions (India) Pvt. Ltd.,Java Software Engineer,4-7 Yrs,"Content management, Agile, Struts, Perl, Oracle, Troubleshooting, SyBase, SSL",Financial Services
Mastercard,Lead Software Engineer (Full Stack),5-9 Yrs,"PCI DSS, continuous integration, Backend, Automation, Software design, Lead Software, Information security, Cryptography",Financial services
Azilen,Assosicate Software Engineer - Python,0-2 Yrs,"Computer science, IT services, Postgresql, MySQL, Programming, Application software, Information technology, Object oriented programming",Software
Repucom,Senior Software Engineer (Java/AWS),5-8 Yrs,"Computer science, Hibernate, Front end, Social media, Cloud, Javascript, HTML, AWS",Reputation Management
Norstella,Senior Fullstack Software Engineer - AWS Quicksight,5-9 Yrs,"Health insurance, Core Java, Pharma, Postgresql, Machine learning, Manager Technology, Life sciences, Scrum",Telecommunications
Siemens,Principal Software Engineer - Java,8-11 Yrs,"Hibernate, jQuery, MySQL, Javascript, Agile, Data structures, HTML, Open source",Conglomerate
Postman,"Apply To Software Engineer II, Monitoring",3-8 Yrs,"Backend, github, Front end, Coding, Technical design, Software Engineer II, Agile, Scrum",Software
Xprotean,Software Engineer  -  . NET / JAVA,0-2 Yrs,"Software testing, Retail, Interpersonal skills, Production, Design development, J2Ee, Software services, Testing",Software
One Muthoot,Software Development Engineer (SDE-1) / Full Stack Developer,0-2 Yrs,"Full Stack Developer, Software Development Engineer, Development, Full Stack, Software, Stack, Software development, Software engineering",Financial Services
Intelex Technologies Ulc,Senior Software Engineer - Java Fullstack,3-5 Yrs,"Automation, MS SQL, Linux, Postgresql, Software configuration management, Workflow, Healthcare, JIRA",Software
CrossAsyst,Sr. Software Engineer (Java),3-7 Yrs,"project management, software development, networking, dbms, engineering, bug fixing, software programming, technical support",Technology
Blueoptima,Senior Java Software Engineer,2-10 Yrs,"Hibernate, Core Java, Linux, Agile, Mentor, Developer, Scrum, Technical support",Software
Quest Global Technologies,Senior Software Engineer-Java,4-7 Yrs,"Maven, Automation, Web services, GIT, Linux, Shell scripting, Agile methodology, test driven development",Engineering and Technology
Quest Global Technologies,"Senior Software Engineer - Angular, Core Java, Linux",5-8 Yrs,"System testing, Core Java, Front end, Dicom, Linux, Shell scripting, Agile, Healthcare",Engineering and Technology
Vidyuttech,Software Development Engineer - 1,1-4 Yrs,"Hibernate, Backend, Version control, GIT, Coding, GCP, MySQL, DNS",Energy
Agiro Digital Services,Senior Software Engineer(Java),4-6 Yrs,"Java, Spring Boot, Rest Api, AWS, Boot, API, Spring, Software",Digital Services
Blue Yonder,"Sr Software Engineer - Java Backend, Springboot, Microservices",5-8 Yrs,"continuous integration, Hibernate, Backend, GIT, NoSQL, RDBMS, software quality, application architecture",Supply chain management.
Mastercard,"Senior Software Engineer (JAVA, Springboot, Microservices)",7-10 Yrs,"Test strategy, Information security, Analytical, Test design, Data structures, test driven development, Customer experience, Application software",Financial services
Paypal,Senior Software Engineer - Java,3-5 Yrs,"Hibernate, Backend, Payment processing, GCP, Process improvement, Diversity and Inclusion, Agile, Open source",Financial services
Sopra Steria,MS Dynamics 365 Senior Software Development Engineer 1,3-5 Yrs,"c#, alm, software development, web application, information technology, customization, plugins, microsoft dynamics",Information Technology (IT)
One Muthoot,Software Development Engineer (SDE-1) / Front End Engineer,0-2 Yrs,"Front End Engineer, Software Development Engineer, Front, End, Development, Software, Software development, Front end",Financial Services
One Muthoot,Software Development Engineer (SDE-1) / Back End Engineer,0-2 Yrs,"Back End Engineer, Software Development Engineer, End, Software, Software development, Backend, Software engineering, Development",Financial Services
Nielsen Media,Senior Software Engineer - Windows C++/dotnet,5-8 Yrs,"C++, Sql Programming, Windows Platform, MFC, C#, .Net, SQL, Senior",Media Research
Epam Systems,Java DS Algo Software Engineer (TP),4-9 Yrs,"Java, Algorithms, Data Structures, AWS, Microservices, Tp, Software engineering, DS",Information Technology (IT)
Surveymonkey,Software Engineer II [Fullstack],2-5 Yrs,"Computer science, Automation, Excel, C, Software Engineer II, Javascript, PHP, Product design",Market Research
Natoma,Software Engineer (Full Stack / Backend),1-4 Yrs,"gcp, communication skillssoftware engineering, design principles, typescript, node.jsdatadog, Backend, Full Stack, Engineering",Wine
Natoma,Software Engineer (Full Stack / Backend),1-4 Yrs,"System architecture, Software design, Backend, Shaping, Cloud, MongoDB, Management, Quality Review",Wine
Vertoz,Software Engineer (Java) - AdXchange,2-4 Yrs,"Core Java, Quality standards, GIT, Version control, Database design, MySQL, Database, Data processing",Marketing Technology (MarTech)
Berkadia,Software Engineer Dot Net,3-5 Yrs,"c#, rest, analytical, web services, ssas, windows services, verbal communication, problem solving",Real Estate
Alter Domus,Lead Fullstack Software Engineer,6-10 Yrs,"C#, Docker, Azure Cloud, SQL Server, React.Js, Redux, Tsql Development, Tsql Queries",Financial Services
Moneyboxx Finance Limited,Lead Software Engineer - Backend / Full Stack,8-13 Yrs,"Fullstack Development, Microservice Based Architecture, Full Stack, Backend Development, Team Management, OOPS, Object Oriented Programming, Spring",Financial Services
MRI Software,"Software Engineer (Dotnet core, Angular)",3-6 Yrs,"System architecture, Health insurance, github, GIT, MVVM, Architecture, Javascript, Software development life cycle",Real Estate
Sanas,Software Engineer - Python,1-2 Yrs,"Backend, Front end, Version control, GIT, NoSQL, GCP, Agile, Data structures",N/A
Webex Communications India (p) Ltd.,"Software Engineer, Technical Leader| C, Linux, Networking domain",12-15 Yrs,"SAN, Automation, Linux, Networking, Ethernet, Debugging, cisco, Virtualization",Technology
ValGenesis,"Software Engineer, Full-Stack",2-8 Yrs,"Product engineering, Coding, Postgresql, Consulting, Javascript, Life sciences, Apache, Reporting tools",Life Sciences
Trimble,Software Engineer - .Net Fullstack,2-3 Yrs,"Object oriented design, github, MS SQL, Front end, Web technologies, Web services, Coding, Javascript",Technology
Trimble Applanix,Software Engineer - .Net Fullstack,2-3 Yrs,"Object oriented design, github, MS SQL, Front end, Web technologies, Web services, Coding, Javascript",Geospatial
ValGenesis,"Junior Software Engineer, Full-Stack",1-5 Yrs,"Computer science, Product engineering, Version control, Enterprise applications, Subversion, Consulting, Agile, Internship",Life Sciences
HOLOSTIK,Sr. Software Engineer/ Tech Lead,6-9 Yrs,"MS SQL, jQuery, Coding, Javascript, JSON, WCF, MVC, Oracle",Technology
Thoughtcoders,Junior Software Engineer(Java),0-2 Yrs,"project management, software development, networking, dbms, bug fixing, recovery, software programming, sql",Software Development
Thoughtcoders,Junior Software Engineer (Python),0-2 Yrs,"c#, rest, python, css, c++, software development, c, natural language processing",Software Development
pfc client,Full stack Angular Software Engineer (L2) - Clinical Applications,2-5 Yrs,"Javascript, SQL Database, Html/Css, Angular Framework, Azure Cloud, Github, Devops, Software engineering","I need more information to determine the industry of ""PFC Client"". ""PFC Client"" could be a company name, a department within a company, or simply a client of a company. 

Please provide more context, such as:

* **What is the full name of the company?** 
* **What services or products does the company offer?** 
* **What is the purpose of ""PFC Client"" within the company?** 

With more information, I can help you identify the industry."
PFC Client,Full stack Angular Software Engineer (L3) - Clinical Applications,5-8 Yrs,"Javascript, SQL Database, Html/Css, Angular Framework, Azure Cloud, Github, Devops, Cs","It's impossible to determine the industry of ""PFC Client"" with only that name.  It could be a client of any number of companies.  

To figure out the industry, you'd need more information, such as:

* **Full company name:**  Is it ""PFC Client Services""?  ""PFC Consulting""?
* **Context:**  Where did you encounter this name?  A website, a job posting, a news article? 
* **Any other details:**  Do you know anything about their services or products?"
Ushema Mansystem,Software Engineer ( DOT NET) Banglore MCA/B.TECH CS IT,1-6 Yrs,"C#, do net core, Java Script Ajax, MVC, SQL, rozor page, Angular, Web Services","I do not have access to real-time information, including company databases. Therefore, I cannot determine the industry of ""Ushema Mansystem."""
Miko,Senior Software Engineer (Java),2-7 Yrs,"Java, Websockets, Vertx, Docker, Hibernate, System Design, Kafka, Redis",Educational Technology
Tola Capital,Senior Software Engineer - Java Backend,4-8 Yrs,"Unix, Career development, Backend, Linux, Healthcare, Application development, Continuous improvement, Recruitment",Private Equity
Ecolab Digital Center (EDC),Lead Software Engineer-Dot Net Full-Stack,3-6 Yrs,"Software testing, Project development, Software design, Usage, Lead Software, Architecture, Field testing, Director",Water treatment and hygiene
STG Labs,Lead Software Engineer-Java Backend,8-12 Yrs,"Spring Boot, Java, Postgresql, MongoDB, Spring, Software, Bootstrap, Backend",Technology
Pubnative,Fullstack Software Engineer II,2-6 Yrs,"Hibernate, Networking, Software Engineer II, Javascript, Healthcare, Genetics, German, Medical insurance",Mobile advertising.
Techlens Global,"Senior Software Engineer-Fullstack (Angular, Typescript. Netcore, C#)",5-10 Yrs,"C#, Web Api, MVC, Angular, .NET Core, Typescript, Core, Software",Technology
Mitratech India,Software Engineer IV - Java/React,8-12 Yrs,"Java, Spring Boot, React.Js, Microservices, Jenkins, AWS, IV, Spring",Legal Technology
Bar Code India,Software Engineer -Dot Net & Angular,3-6 Yrs,"ASP .Net MVC, ASP.Net, Angular, .net, MVC, ASP, Software engineering, DoT",Barcode Technology
Mitratech India,"Software Engineer III, Java Maintenance",5-7 Yrs,"Java, Javascript, Maintenance, Tomcat Server, Eclipse, SQL, Serv, III",Legal Technology
Visionyle Solutions,Full-Stack Software Engineer - C# + .NET Full Stack,5-7 Yrs,"C#, HTML, CSS3, TypeScript, JavaScript, Azure, Azure devops, ORM","I do not have access to real-time information, including company databases. Therefore, I cannot tell you what industry ""Visionyle Solutions"" belongs to."
Perfect Intelligent Systems,Software Engineer (Python),1-5 Yrs,"Socket programming, C++, Team leading, development, technical, Telecommunication, developing, Interpersonal skills",Technology
Infosys,Senior Java Software Engineer,8-13 Yrs,"Java, Java 11, DevOps, Hibernate, Spring framework, Boot, Stakeholder Management, Management",Information Technology (IT)
Blue Yonder,"Software Engineer II(Python,Microservices,Rest API)",3-6 Yrs,"Product management, Hibernate, Automation, MS SQL, GIT, Software Engineer II, Architectural design, application architecture",Supply chain management.
Paypal,Staff Software Engineer - Java,4-7 Yrs,"JMS, Hibernate, Backend, NoSQL, Coding, Process improvement, JPA, Open source",Financial services
Paypal,Staff Software Engineer - Java,8-13 Yrs,"JMS, Hibernate, Backend, NoSQL, Coding, Process improvement, JPA, Open source",Financial services
Paypal,Lead Software Engineer - Java,5-10 Yrs,"Backend, Payment processing, GCP, Process improvement, Diversity and Inclusion, Agile methodology, Open source, Distribution system",Financial services
Affinity Global Advertising,"Software Engineer, Senior Fullstack",2-6 Yrs,"System architecture, Cloud computing, Backend, HP data protector, Architecture, Coding, Performance testing, Troubleshooting",Advertising.
Datadot Labs,Senior Software Engineer ? Java,4-7 Yrs,"Software Engineer ? Java, Software, Java, Software engineering, Senior",Data Science
Highradius,Senior Software Engineer - Java,0-5 Yrs,"stack, hibernate, microsoft, sql, spring, cloud, elastic search, java",Finance Technology (FinTech)
